id,name,description,category,subcategory,item_type,brand,price,currency,sizes_available,colors_available,material,care_instructions,rating,review_count,availability,season,gender,age_group,style,tags,eco_friendly,made_in,release_date
495,Levi's Premium Watches,Stylish watches with relaxed fit design. Perfect for formal occasions. Made from high-quality polyester. Delicate Cycle.,Fashion,Accessories,watches,Levi's,148.46,USD,"8, 7, 9","Pink, Beige, Gray",synthetic blend,dry clean only,4.7,776,Limited Stock,Spring/Summer,Women,Adult,Trendy,"watches, Levi's, Modern, fashion",True,India,2024-09-29
496,Nike Essential Boots,Stylish boots with regular fit design. Perfect for business meetings. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Shoes,boots,Nike,188.85,USD,"9, 6, 7","Black, Pink",leather,delicate cycle,4.9,226,Out of Stock,Fall/Winter,Men,Teen,Formal,"boots, Nike, Formal, fashion",False,China,2025-05-11
497,Zara Classic Hats,Stylish hats with tailored fit design. Perfect for weekend outings. Made from high-quality synthetic blend. Machine Washable.,Fashion,Accessories,hats,Zara,535.5,USD,"11, 12, 7","Brown, Green, Pink",denim,machine washable,4.8,488,In Stock,All Season,Unisex,Teen,Classic,"hats, Zara, Casual, fashion",False,USA,2024-10-29
498,Calvin Klein Casual Dresses,Stylish dresses with slim fit design. Perfect for weekend outings. Made from high-quality leather. Dry Clean Only.,Fashion,Clothing,dresses,Calvin Klein,241.38,USD,"L, XL, XS, XXL","Pink, Brown, Blue",polyester,delicate cycle,3.6,441,Limited Stock,Spring/Summer,Men,Kids,Formal,"dresses, Calvin Klein, Signature, fashion",False,Bangladesh,2025-06-21
499,Calvin Klein Premium Dresses,Stylish dresses with tailored fit design. Perfect for casual wear. Made from high-quality leather. Delicate Cycle.,Fashion,Clothing,dresses,Calvin Klein,237.59,USD,"XL, S, L, XS, XXL, M","Green, Navy",synthetic blend,delicate cycle,3.2,490,In Stock,All Season,Unisex,Kids,Trendy,"dresses, Calvin Klein, Signature, fashion",True,China,2025-07-04
500,Uniqlo Classic Sweaters,Stylish sweaters with relaxed fit design. Perfect for business meetings. Made from high-quality silk. Dry Clean Only.,Fashion,Clothing,sweaters,Uniqlo,58.09,USD,"XL, XXL, S, L, XS","Pink, Brown, Blue, White, Gray",denim,hand wash recommended,3.5,786,Limited Stock,All Season,Women,Teen,Formal,"sweaters, Uniqlo, Premium, fashion",False,China,2025-07-01
501,Calvin Klein Premium Sweaters,Stylish sweaters with oversized design. Perfect for business meetings. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Clothing,sweaters,Calvin Klein,267.69,USD,"XXL, S, XS, XL","White, Gray, Red, Navy, Brown",synthetic blend,delicate cycle,4.9,562,Limited Stock,Fall/Winter,Unisex,Adult,Classic,"sweaters, Calvin Klein, Essential, fashion",False,Bangladesh,2024-10-04
502,Adidas Modern Blazers,Stylish blazers with slim fit design. Perfect for formal occasions. Made from high-quality silk. Delicate Cycle.,Fashion,Clothing,blazers,Adidas,282.48,USD,"M, L, XS, S","Blue, Red, Beige",leather,dry clean only,4.8,686,Limited Stock,Fall/Winter,Men,Teen,Casual,"blazers, Adidas, Premium, fashion",True,Italy,2024-08-23
503,Ralph Lauren Urban Sandals,Stylish sandals with tailored fit design. Perfect for weekend outings. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Shoes,sandals,Ralph Lauren,58.57,USD,"6, 11, 7, 12, 9, 10","Red, Beige",synthetic blend,machine washable,3.7,1238,Out of Stock,Spring/Summer,Women,Teen,Casual,"sandals, Ralph Lauren, Designer, fashion",False,China,2025-04-26
504,Uniqlo Classic Blazers,Stylish blazers with regular fit design. Perfect for business meetings. Made from high-quality polyester. Machine Washable.,Fashion,Clothing,blazers,Uniqlo,258.54,USD,"M, XL, XS, S, XXL","Brown, Red, Blue, Pink",denim,hand wash recommended,4.7,1147,Out of Stock,All Season,Unisex,Adult,Business,"blazers, Uniqlo, Premium, fashion",False,Turkey,2025-06-03
505,Nike Classic Dresses,Stylish dresses with tailored fit design. Perfect for special events. Made from high-quality synthetic blend. Dry Clean Only.,Fashion,Clothing,dresses,Nike,31.38,USD,"XXL, L, M","Green, Blue, Beige",wool,delicate cycle,4.7,770,In Stock,Fall/Winter,Women,Adult,Trendy,"dresses, Nike, Essential, fashion",False,India,2024-11-10
506,Calvin Klein Casual Jeans,Stylish jeans with regular fit design. Perfect for formal occasions. Made from high-quality silk. Hand Wash Recommended.,Fashion,Clothing,jeans,Calvin Klein,74.84,USD,"XXL, XS, M, S, XL, L","Pink, Navy, White",cotton,machine washable,3.3,895,Limited Stock,Fall/Winter,Unisex,Kids,Formal,"jeans, Calvin Klein, Premium, fashion",True,China,2025-05-19
507,Calvin Klein Modern Belts,Stylish belts with tailored fit design. Perfect for special events. Made from high-quality leather. Hand Wash Recommended.,Fashion,Accessories,belts,Calvin Klein,241.13,USD,"11, 10, 5, 8","Brown, Navy",wool,delicate cycle,4.0,6,Limited Stock,Spring/Summer,Women,Teen,Trendy,"belts, Calvin Klein, Vintage, fashion",False,Turkey,2025-06-24
508,Gap Modern Sandals,Stylish sandals with tailored fit design. Perfect for casual wear. Made from high-quality synthetic blend. Delicate Cycle.,Fashion,Shoes,sandals,Gap,262.11,USD,"10, 9, 7, 11, 12, 6","Brown, Red, Black, Green",linen,dry clean only,3.2,1096,In Stock,Fall/Winter,Women,Adult,Trendy,"sandals, Gap, Urban, fashion",True,Italy,2025-03-05
509,Zara Essential Belts,Stylish belts with relaxed fit design. Perfect for casual wear. Made from high-quality leather. Dry Clean Only.,Fashion,Accessories,belts,Zara,125.4,USD,"7, 9, 10, 12, 8, 6","Red, Blue",silk,delicate cycle,3.4,69,Limited Stock,Spring/Summer,Women,Teen,Formal,"belts, Zara, Designer, fashion",False,Vietnam,2024-12-02
510,Uniqlo Signature Jewelry,Stylish jewelry with relaxed fit design. Perfect for casual wear. Made from high-quality synthetic blend. Machine Washable.,Fashion,Accessories,jewelry,Uniqlo,237.72,USD,"7, 9, 12","Black, Gray",linen,delicate cycle,3.8,573,In Stock,Spring/Summer,Women,Teen,Classic,"jewelry, Uniqlo, Casual, fashion",True,Italy,2024-11-17
511,Ralph Lauren Essential Flats,Stylish flats with oversized design. Perfect for casual wear. Made from high-quality polyester. Delicate Cycle.,Fashion,Shoes,flats,Ralph Lauren,77.18,USD,"12, 10, 7, 6, 9, 11","Beige, White, Navy, Black, Gray",leather,hand wash recommended,4.0,914,Out of Stock,Spring/Summer,Women,Adult,Business,"flats, Ralph Lauren, Urban, fashion",True,India,2025-07-02
512,H&M Formal Belts,Stylish belts with relaxed fit design. Perfect for casual wear. Made from high-quality silk. Machine Washable.,Fashion,Accessories,belts,H&M,262.05,USD,"10, 9, 5, 8","Green, Navy",denim,delicate cycle,4.8,561,In Stock,Spring/Summer,Unisex,Teen,Formal,"belts, H&M, Premium, fashion",False,USA,2025-02-13
513,H&M Premium Blazers,Stylish blazers with oversized design. Perfect for formal occasions. Made from high-quality synthetic blend. Delicate Cycle.,Fashion,Clothing,blazers,H&M,68.2,USD,"XL, XXL, S, XS, L","Gray, Red",silk,delicate cycle,4.0,508,In Stock,Spring/Summer,Women,Adult,Formal,"blazers, H&M, Premium, fashion",True,Italy,2025-04-17
514,Gap Vintage Scarves,Stylish scarves with oversized design. Perfect for formal occasions. Made from high-quality linen. Delicate Cycle.,Fashion,Accessories,scarves,Gap,122.41,USD,"9, 6, 7, 12, 8","Green, Blue, Pink, Gray",denim,hand wash recommended,3.8,242,Out of Stock,Fall/Winter,Men,Teen,Trendy,"scarves, Gap, Premium, fashion",False,USA,2025-06-19
515,H&M Premium Shorts,Stylish shorts with tailored fit design. Perfect for formal occasions. Made from high-quality wool. Delicate Cycle.,Fashion,Clothing,shorts,H&M,274.54,USD,"XS, XL, S","Red, Navy",synthetic blend,machine washable,3.0,981,Limited Stock,Spring/Summer,Unisex,Kids,Sporty,"shorts, H&M, Casual, fashion",False,Turkey,2025-07-18
516,Tommy Hilfiger Formal Belts,Stylish belts with oversized design. Perfect for special events. Made from high-quality cotton. Dry Clean Only.,Fashion,Accessories,belts,Tommy Hilfiger,239.97,USD,"9, 8, 6, 7, 10","Black, Navy, Gray, Blue",wool,dry clean only,3.4,750,Out of Stock,Spring/Summer,Unisex,Teen,Formal,"belts, Tommy Hilfiger, Signature, fashion",True,Italy,2025-07-01
517,Calvin Klein Designer Bags,Stylish bags with relaxed fit design. Perfect for casual wear. Made from high-quality silk. Dry Clean Only.,Fashion,Accessories,bags,Calvin Klein,564.45,USD,"5, 9, 12, 10, 7, 8","Green, Black, Blue, Red",leather,delicate cycle,4.1,131,In Stock,Spring/Summer,Unisex,Adult,Business,"bags, Calvin Klein, Designer, fashion",True,Bangladesh,2025-06-25
518,Uniqlo Classic Sweaters,Stylish sweaters with relaxed fit design. Perfect for special events. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Clothing,sweaters,Uniqlo,136.1,USD,"XXL, M, L, XL","Gray, Green",silk,hand wash recommended,4.5,145,In Stock,Fall/Winter,Men,Kids,Sporty,"sweaters, Uniqlo, Formal, fashion",True,Turkey,2025-02-28
519,Adidas Premium Skirts,Stylish skirts with regular fit design. Perfect for casual wear. Made from high-quality leather. Dry Clean Only.,Fashion,Clothing,skirts,Adidas,105.99,USD,"XS, XXL, M, S","Navy, Brown, Green, Blue",polyester,dry clean only,4.8,1283,In Stock,Spring/Summer,Women,Kids,Trendy,"skirts, Adidas, Urban, fashion",False,Vietnam,2025-07-04
520,Ralph Lauren Signature Bags,Stylish bags with tailored fit design. Perfect for business meetings. Made from high-quality leather. Machine Washable.,Fashion,Accessories,bags,Ralph Lauren,251.67,USD,"5, 7, 6, 10, 9","Pink, Brown, Blue, Green, Red",silk,hand wash recommended,3.7,1472,Limited Stock,Fall/Winter,Men,Kids,Classic,"bags, Ralph Lauren, Signature, fashion",True,China,2025-05-12
521,Zara Vintage Belts,Stylish belts with oversized design. Perfect for casual wear. Made from high-quality denim. Delicate Cycle.,Fashion,Accessories,belts,Zara,402.08,USD,"8, 11, 9, 5, 7, 6","Beige, Black, Brown, Blue",silk,dry clean only,4.0,924,In Stock,Spring/Summer,Women,Kids,Sporty,"belts, Zara, Essential, fashion",True,China,2025-07-12
522,Ralph Lauren Essential Sandals,Stylish sandals with slim fit design. Perfect for business meetings. Made from high-quality denim. Dry Clean Only.,Fashion,Shoes,sandals,Ralph Lauren,264.49,USD,"7, 9, 6","White, Pink, Green, Blue, Red",silk,machine washable,3.8,1054,In Stock,Fall/Winter,Unisex,Teen,Classic,"sandals, Ralph Lauren, Classic, fashion",False,India,2025-08-22
523,Levi's Designer Bags,Stylish bags with oversized design. Perfect for business meetings. Made from high-quality cotton. Dry Clean Only.,Fashion,Accessories,bags,Levi's,310.47,USD,"10, 6, 5, 12","White, Green, Red, Pink, Navy",polyester,machine washable,4.7,828,In Stock,Fall/Winter,Unisex,Kids,Casual,"bags, Levi's, Modern, fashion",False,Italy,2025-08-07
524,Ralph Lauren Essential Watches,Stylish watches with relaxed fit design. Perfect for business meetings. Made from high-quality leather. Dry Clean Only.,Fashion,Accessories,watches,Ralph Lauren,27.56,USD,"6, 10, 5, 11","Navy, Black, Brown, Pink",wool,delicate cycle,3.5,261,In Stock,Fall/Winter,Unisex,Adult,Business,"watches, Ralph Lauren, Premium, fashion",False,Turkey,2025-06-08
525,Ralph Lauren Classic Scarves,Stylish scarves with regular fit design. Perfect for formal occasions. Made from high-quality wool. Machine Washable.,Fashion,Accessories,scarves,Ralph Lauren,351.47,USD,"5, 10, 12, 8","Blue, Red",cotton,delicate cycle,3.3,1247,In Stock,All Season,Men,Adult,Formal,"scarves, Ralph Lauren, Signature, fashion",True,China,2025-06-03
526,Zara Vintage Flats,Stylish flats with slim fit design. Perfect for casual wear. Made from high-quality polyester. Machine Washable.,Fashion,Shoes,flats,Zara,197.44,USD,"6, 11, 5","Gray, Green",synthetic blend,dry clean only,4.4,353,Out of Stock,Fall/Winter,Men,Teen,Casual,"flats, Zara, Classic, fashion",False,USA,2025-02-24
527,Levi's Classic Dresses,Stylish dresses with slim fit design. Perfect for business meetings. Made from high-quality leather. Hand Wash Recommended.,Fashion,Clothing,dresses,Levi's,139.36,USD,"L, S, XXL","Green, Blue, Red",denim,machine washable,3.2,1088,Limited Stock,All Season,Unisex,Kids,Classic,"dresses, Levi's, Essential, fashion",True,China,2025-03-13
528,Nike Modern Flats,Stylish flats with regular fit design. Perfect for weekend outings. Made from high-quality leather. Dry Clean Only.,Fashion,Shoes,flats,Nike,55.84,USD,"7, 10, 5, 9, 6","Green, Black, Navy",cotton,dry clean only,3.6,935,In Stock,All Season,Unisex,Adult,Business,"flats, Nike, Casual, fashion",True,Turkey,2024-09-04
529,Calvin Klein Signature Watches,Stylish watches with oversized design. Perfect for weekend outings. Made from high-quality silk. Delicate Cycle.,Fashion,Accessories,watches,Calvin Klein,196.77,USD,"5, 9, 7, 6, 12, 8","Brown, Red, Beige, Navy",silk,delicate cycle,4.9,403,Out of Stock,All Season,Women,Adult,Formal,"watches, Calvin Klein, Essential, fashion",False,Vietnam,2024-11-03
530,Adidas Designer Sunglasses,Stylish sunglasses with relaxed fit design. Perfect for weekend outings. Made from high-quality wool. Dry Clean Only.,Fashion,Accessories,sunglasses,Adidas,285.47,USD,"8, 7, 6, 9, 5, 11","Black, Beige, Blue, Pink",silk,machine washable,4.2,1369,In Stock,All Season,Unisex,Teen,Classic,"sunglasses, Adidas, Designer, fashion",True,Italy,2025-04-02
531,Uniqlo Casual Belts,Stylish belts with regular fit design. Perfect for special events. Made from high-quality linen. Hand Wash Recommended.,Fashion,Accessories,belts,Uniqlo,516.33,USD,"11, 10, 8, 5, 9","Beige, Pink, Navy",leather,delicate cycle,4.0,907,Out of Stock,Spring/Summer,Men,Kids,Casual,"belts, Uniqlo, Urban, fashion",True,China,2024-11-09
532,Uniqlo Casual Jeans,Stylish jeans with slim fit design. Perfect for weekend outings. Made from high-quality leather. Dry Clean Only.,Fashion,Clothing,jeans,Uniqlo,40.88,USD,"M, XS, S","Pink, Brown, Navy",polyester,delicate cycle,4.4,985,In Stock,All Season,Women,Kids,Trendy,"jeans, Uniqlo, Vintage, fashion",False,India,2024-11-10
533,Adidas Designer Scarves,Stylish scarves with regular fit design. Perfect for weekend outings. Made from high-quality denim. Machine Washable.,Fashion,Accessories,scarves,Adidas,169.99,USD,"11, 9, 6, 8, 5","Green, Beige",leather,hand wash recommended,4.6,1030,Limited Stock,Spring/Summer,Women,Adult,Business,"scarves, Adidas, Urban, fashion",True,Vietnam,2025-06-02
534,Adidas Urban Sandals,Stylish sandals with tailored fit design. Perfect for casual wear. Made from high-quality leather. Dry Clean Only.,Fashion,Shoes,sandals,Adidas,279.94,USD,"10, 6, 8","Blue, Pink",linen,dry clean only,3.6,77,Limited Stock,Fall/Winter,Men,Teen,Trendy,"sandals, Adidas, Designer, fashion",True,China,2024-12-19
535,Zara Classic Athletic Shoes,Stylish athletic shoes with oversized design. Perfect for casual wear. Made from high-quality cotton. Delicate Cycle.,Fashion,Shoes,athletic shoes,Zara,80.13,USD,"7, 6, 12, 8","Red, Brown, Navy, Blue, Gray",linen,hand wash recommended,4.6,795,Out of Stock,Spring/Summer,Men,Kids,Business,"athletic shoes, Zara, Modern, fashion",True,Vietnam,2025-01-01
536,H&M Urban Jackets,Stylish jackets with tailored fit design. Perfect for special events. Made from high-quality leather. Machine Washable.,Fashion,Clothing,jackets,H&M,53.43,USD,"XS, M, S","Pink, White, Red, Blue",leather,delicate cycle,4.5,1083,In Stock,Fall/Winter,Women,Kids,Business,"jackets, H&M, Casual, fashion",True,USA,2024-11-23
537,H&M Signature Dresses,Stylish dresses with tailored fit design. Perfect for formal occasions. Made from high-quality synthetic blend. Dry Clean Only.,Fashion,Clothing,dresses,H&M,212.58,USD,"XL, XXL, L, XS, M, S","Beige, Red, Blue",denim,delicate cycle,3.4,656,In Stock,Fall/Winter,Men,Kids,Business,"dresses, H&M, Signature, fashion",True,USA,2024-08-25
538,Ralph Lauren Premium Shorts,Stylish shorts with oversized design. Perfect for formal occasions. Made from high-quality synthetic blend. Dry Clean Only.,Fashion,Clothing,shorts,Ralph Lauren,61.42,USD,"XS, XL, M","Navy, White, Black, Pink, Brown",denim,machine washable,4.1,1488,In Stock,All Season,Men,Kids,Business,"shorts, Ralph Lauren, Essential, fashion",False,Vietnam,2025-02-07
539,Uniqlo Designer Scarves,Stylish scarves with relaxed fit design. Perfect for business meetings. Made from high-quality denim. Dry Clean Only.,Fashion,Accessories,scarves,Uniqlo,596.74,USD,"8, 7, 9, 5, 10","Gray, Brown, Navy",silk,machine washable,4.3,632,In Stock,Spring/Summer,Unisex,Kids,Trendy,"scarves, Uniqlo, Essential, fashion",False,USA,2024-08-28
540,H&M Casual Jewelry,Stylish jewelry with relaxed fit design. Perfect for business meetings. Made from high-quality polyester. Delicate Cycle.,Fashion,Accessories,jewelry,H&M,212.03,USD,"5, 11, 8, 6, 12, 7","Beige, Blue, Pink, Black, Navy",silk,machine washable,3.4,226,In Stock,All Season,Unisex,Adult,Casual,"jewelry, H&M, Modern, fashion",True,China,2025-02-25
541,Levi's Premium Sneakers,Stylish sneakers with slim fit design. Perfect for weekend outings. Made from high-quality leather. Dry Clean Only.,Fashion,Shoes,sneakers,Levi's,81.64,USD,"12, 7, 5, 11, 8, 10","Green, Gray, Blue, Red, White",cotton,dry clean only,3.2,1048,Limited Stock,All Season,Women,Adult,Business,"sneakers, Levi's, Modern, fashion",False,Italy,2025-08-02
542,Nike Classic Flats,Stylish flats with tailored fit design. Perfect for business meetings. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Shoes,flats,Nike,341.33,USD,"5, 12, 11","Red, Green, Gray, Beige",cotton,dry clean only,3.7,1080,Out of Stock,All Season,Women,Kids,Classic,"flats, Nike, Classic, fashion",False,Turkey,2025-06-30
543,Uniqlo Formal Dresses,Stylish dresses with relaxed fit design. Perfect for casual wear. Made from high-quality wool. Machine Washable.,Fashion,Clothing,dresses,Uniqlo,156.81,USD,"XXL, S, M, XL","Pink, Red, Brown, Black",polyester,delicate cycle,3.6,476,Out of Stock,All Season,Women,Teen,Formal,"dresses, Uniqlo, Vintage, fashion",False,China,2025-07-05
544,Tommy Hilfiger Signature Jewelry,Stylish jewelry with tailored fit design. Perfect for business meetings. Made from high-quality leather. Machine Washable.,Fashion,Accessories,jewelry,Tommy Hilfiger,207.55,USD,"9, 12, 10, 11","Black, Red, Pink, White, Blue",silk,delicate cycle,3.3,475,In Stock,Fall/Winter,Men,Kids,Sporty,"jewelry, Tommy Hilfiger, Classic, fashion",False,Italy,2024-12-26
545,Zara Vintage Belts,Stylish belts with tailored fit design. Perfect for business meetings. Made from high-quality cotton. Dry Clean Only.,Fashion,Accessories,belts,Zara,393.17,USD,"8, 5, 12, 6, 9, 7","Red, Pink, Gray, Blue, Navy",denim,hand wash recommended,4.1,1144,Out of Stock,Spring/Summer,Unisex,Teen,Classic,"belts, Zara, Designer, fashion",False,Vietnam,2025-01-03
546,Nike Modern Hats,Stylish hats with slim fit design. Perfect for casual wear. Made from high-quality cotton. Dry Clean Only.,Fashion,Accessories,hats,Nike,190.38,USD,"6, 8, 10, 5","Pink, Green, Gray",linen,hand wash recommended,4.4,1134,Limited Stock,Fall/Winter,Men,Teen,Sporty,"hats, Nike, Signature, fashion",False,Turkey,2024-09-17
547,Uniqlo Modern Dresses,Stylish dresses with slim fit design. Perfect for weekend outings. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Clothing,dresses,Uniqlo,223.58,USD,"XS, L, XXL","Brown, Blue, Green, White, Beige",synthetic blend,dry clean only,4.5,809,In Stock,Fall/Winter,Women,Adult,Casual,"dresses, Uniqlo, Premium, fashion",False,USA,2024-09-19
548,Ralph Lauren Signature Boots,Stylish boots with regular fit design. Perfect for formal occasions. Made from high-quality cotton. Dry Clean Only.,Fashion,Shoes,boots,Ralph Lauren,203.81,USD,"11, 10, 6, 7, 5, 9","Blue, Green, White, Gray, Beige",synthetic blend,delicate cycle,4.7,1481,Limited Stock,Fall/Winter,Unisex,Kids,Classic,"boots, Ralph Lauren, Casual, fashion",True,India,2025-01-14
549,Calvin Klein Casual Flats,Stylish flats with oversized design. Perfect for weekend outings. Made from high-quality cotton. Dry Clean Only.,Fashion,Shoes,flats,Calvin Klein,202.99,USD,"11, 6, 7","Brown, Blue, Pink, Black, Beige",cotton,dry clean only,3.4,498,In Stock,All Season,Women,Kids,Sporty,"flats, Calvin Klein, Essential, fashion",False,China,2025-01-10
550,Levi's Urban Sweaters,Stylish sweaters with tailored fit design. Perfect for formal occasions. Made from high-quality denim. Dry Clean Only.,Fashion,Clothing,sweaters,Levi's,213.68,USD,"S, M, XS, XL","Green, Blue, Red",polyester,machine washable,4.8,20,In Stock,All Season,Women,Adult,Business,"sweaters, Levi's, Signature, fashion",True,Turkey,2025-02-24
551,Calvin Klein Formal Blazers,Stylish blazers with relaxed fit design. Perfect for formal occasions. Made from high-quality linen. Dry Clean Only.,Fashion,Clothing,blazers,Calvin Klein,31.09,USD,"XL, S, M, XS, L, XXL","Beige, Blue, Gray, Green, Navy",denim,hand wash recommended,4.9,1256,Limited Stock,All Season,Men,Kids,Trendy,"blazers, Calvin Klein, Casual, fashion",False,Vietnam,2025-01-20
552,Uniqlo Vintage Sandals,Stylish sandals with relaxed fit design. Perfect for business meetings. Made from high-quality leather. Hand Wash Recommended.,Fashion,Shoes,sandals,Uniqlo,87.61,USD,"7, 5, 8, 6, 9","Blue, Brown",polyester,machine washable,3.5,723,Out of Stock,Spring/Summer,Men,Teen,Trendy,"sandals, Uniqlo, Essential, fashion",False,USA,2025-05-30
553,Calvin Klein Premium Heels,Stylish heels with slim fit design. Perfect for weekend outings. Made from high-quality synthetic blend. Delicate Cycle.,Fashion,Shoes,heels,Calvin Klein,369.43,USD,"12, 10, 7, 9, 8, 5","White, Navy, Black",linen,machine washable,4.4,1123,In Stock,Fall/Winter,Women,Teen,Formal,"heels, Calvin Klein, Designer, fashion",True,China,2024-12-30
554,Levi's Modern Flats,Stylish flats with tailored fit design. Perfect for business meetings. Made from high-quality silk. Hand Wash Recommended.,Fashion,Shoes,flats,Levi's,340.44,USD,"11, 7, 9","Pink, Beige, Navy",wool,machine washable,3.0,845,In Stock,Fall/Winter,Unisex,Teen,Sporty,"flats, Levi's, Casual, fashion",True,Italy,2024-10-15
555,Levi's Essential Hats,Stylish hats with tailored fit design. Perfect for casual wear. Made from high-quality cotton. Dry Clean Only.,Fashion,Accessories,hats,Levi's,392.01,USD,"9, 11, 8, 7","Brown, Beige, Navy, Blue",synthetic blend,machine washable,4.1,889,Out of Stock,Spring/Summer,Women,Kids,Business,"hats, Levi's, Essential, fashion",True,India,2025-06-14
556,Ralph Lauren Essential Hats,Stylish hats with regular fit design. Perfect for business meetings. Made from high-quality synthetic blend. Dry Clean Only.,Fashion,Accessories,hats,Ralph Lauren,580.34,USD,"8, 7, 10, 12, 6, 5","Navy, Gray, Brown, Beige",silk,machine washable,4.4,1244,Out of Stock,Fall/Winter,Unisex,Kids,Casual,"hats, Ralph Lauren, Modern, fashion",False,India,2025-03-08
557,H&M Casual Dresses,Stylish dresses with oversized design. Perfect for casual wear. Made from high-quality synthetic blend. Delicate Cycle.,Fashion,Clothing,dresses,H&M,60.97,USD,"XL, S, L","Pink, Brown",linen,delicate cycle,3.0,804,Out of Stock,Fall/Winter,Unisex,Teen,Classic,"dresses, H&M, Casual, fashion",False,Vietnam,2025-07-02
558,Zara Formal Sneakers,Stylish sneakers with regular fit design. Perfect for casual wear. Made from high-quality leather. Machine Washable.,Fashion,Shoes,sneakers,Zara,395.16,USD,"8, 11, 6","Pink, Navy, Green, White, Beige",linen,delicate cycle,4.7,1212,Out of Stock,Fall/Winter,Unisex,Kids,Sporty,"sneakers, Zara, Casual, fashion",False,Vietnam,2025-08-16
559,Nike Casual Bags,Stylish bags with relaxed fit design. Perfect for weekend outings. Made from high-quality silk. Machine Washable.,Fashion,Accessories,bags,Nike,266.85,USD,"8, 12, 11, 10, 5","Black, Blue",wool,hand wash recommended,4.0,1241,In Stock,All Season,Unisex,Adult,Trendy,"bags, Nike, Casual, fashion",False,Turkey,2025-04-15
560,Adidas Formal Sneakers,Stylish sneakers with relaxed fit design. Perfect for business meetings. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Shoes,sneakers,Adidas,244.41,USD,"7, 5, 11, 12","Pink, White, Black, Gray, Navy",wool,delicate cycle,3.3,1425,In Stock,All Season,Men,Adult,Formal,"sneakers, Adidas, Casual, fashion",False,Italy,2024-12-30
561,Nike Modern Sweaters,Stylish sweaters with regular fit design. Perfect for business meetings. Made from high-quality cotton. Machine Washable.,Fashion,Clothing,sweaters,Nike,109.52,USD,"XS, XL, M, XXL, L, S","Blue, Black, Brown, Pink",denim,machine washable,4.5,1063,In Stock,Fall/Winter,Women,Adult,Casual,"sweaters, Nike, Formal, fashion",False,China,2025-06-14
562,H&M Premium Blazers,Stylish blazers with tailored fit design. Perfect for casual wear. Made from high-quality synthetic blend. Delicate Cycle.,Fashion,Clothing,blazers,H&M,52.72,USD,"L, XS, XXL","Green, Blue, White",synthetic blend,delicate cycle,4.2,1385,In Stock,Fall/Winter,Unisex,Adult,Casual,"blazers, H&M, Designer, fashion",True,India,2025-05-02
563,Nike Premium Flats,Stylish flats with tailored fit design. Perfect for special events. Made from high-quality wool. Hand Wash Recommended.,Fashion,Shoes,flats,Nike,177.54,USD,"7, 12, 10, 6, 8","Navy, Green, Pink",denim,machine washable,3.9,982,In Stock,Fall/Winter,Unisex,Kids,Casual,"flats, Nike, Formal, fashion",True,Turkey,2024-12-20
564,Ralph Lauren Formal Dresses,Stylish dresses with oversized design. Perfect for weekend outings. Made from high-quality denim. Machine Washable.,Fashion,Clothing,dresses,Ralph Lauren,265.34,USD,"S, XXL, XS, XL, L, M","Brown, Green, Blue",cotton,dry clean only,4.1,44,In Stock,Fall/Winter,Unisex,Teen,Business,"dresses, Ralph Lauren, Classic, fashion",False,Vietnam,2024-12-10
565,Levi's Premium Sweaters,Stylish sweaters with oversized design. Perfect for special events. Made from high-quality cotton. Machine Washable.,Fashion,Clothing,sweaters,Levi's,171.82,USD,"XL, S, L, M, XS","Green, Pink",leather,hand wash recommended,4.6,234,In Stock,All Season,Unisex,Kids,Casual,"sweaters, Levi's, Classic, fashion",False,Vietnam,2024-09-03
566,Zara Vintage Blazers,Stylish blazers with slim fit design. Perfect for special events. Made from high-quality linen. Machine Washable.,Fashion,Clothing,blazers,Zara,83.52,USD,"XL, L, S","Beige, Green, Gray, Brown, Blue",wool,hand wash recommended,4.7,988,In Stock,Fall/Winter,Unisex,Kids,Sporty,"blazers, Zara, Urban, fashion",True,Turkey,2025-06-28
567,Gap Premium Boots,Stylish boots with tailored fit design. Perfect for business meetings. Made from high-quality silk. Dry Clean Only.,Fashion,Shoes,boots,Gap,306.4,USD,"12, 8, 5, 9","Brown, White",denim,dry clean only,4.4,397,In Stock,Spring/Summer,Men,Kids,Formal,"boots, Gap, Casual, fashion",True,China,2024-12-15
568,Uniqlo Formal Hats,Stylish hats with tailored fit design. Perfect for formal occasions. Made from high-quality wool. Delicate Cycle.,Fashion,Accessories,hats,Uniqlo,236.99,USD,"7, 9, 12, 6","White, Navy, Brown, Pink, Red",linen,hand wash recommended,4.3,1105,In Stock,All Season,Men,Teen,Sporty,"hats, Uniqlo, Formal, fashion",True,China,2025-05-30
