id,name,description,category,subcategory,brand,price,currency,rating,review_count,availability,features,tags,color,weight_kg,dimensions_cm,material,country_origin,warranty_months,eco_friendly,release_date,sku
247,Beats Studio 490,"High-fidelity audio experience with advanced driver technology. Featuring touch controls, quick charge, voice assistant. ",Electronics,Headphones,Beats,112.18,USD,4.9,1308,In Stock,"touch controls, quick charge, voice assistant, noise cancellation","noise cancellation, quick charge, Beats, touch controls, voice assistant",Gray,1.38,92x104x54,Fabric,South Korea,36,False,2023-02-01,BEA-HEA-000247
248,Ralph Lauren Modern outerwear,"Premium fashion item with attention to detail and quality craftsmanship. Featuring easy care, comfortable fit, versatile styling. Made from high-quality polyester. Available in sizes XL-S-XS.",Fashion,Clothing,Ralph Lauren,225.39,USD,3.6,3407,Limited Stock,"easy care, comfortable fit, versatile styling, durable construction","comfortable fit, Ralph Lauren, easy care, durable construction, versatile styling",Blue,19.68,148x116x54,Plastic,USA,6,False,2022-11-28,RAL-CLO-000248
249,Shure K 631,"Premium wireless headphones with superior sound quality and comfort. Featuring comfortable fit, voice assistant. ",Electronics,Headphones,Shure,303.73,USD,5.0,1921,In Stock,"comfortable fit, voice assistant","comfortable fit, voice assistant, Shure",Black,16.3,30x32x57,Leather,Japan,36,False,2024-03-31,SHU-HEA-000249
250,West Elm Modern rugs,"Practical home solution with contemporary aesthetic appeal. Featuring easy assembly, affordable pricing. Dimensions: 28x117x23cm. Crafted from glass.",Home & Garden,Home Decor,West Elm,775.95,USD,3.3,1253,Limited Stock,"easy assembly, affordable pricing","affordable pricing, easy assembly, West Elm",Yellow,1.89,117x13x45,Glass,Germany,6,False,2022-12-09,WES-HOM-000250
251,Audio-Technica Live 849,"Premium wireless headphones with superior sound quality and comfort. Featuring quick charge, multipoint connection, comfortable fit. ",Electronics,Headphones,Audio-Technica,288.46,USD,3.4,4528,In Stock,"quick charge, multipoint connection, comfortable fit","comfortable fit, quick charge, multipoint connection, Audio-Technica",White,7.06,62x136x53,Rubber,Taiwan,24,True,2024-11-17,AUD-HEA-000251
252,Huawei Ultra 352,"Flagship smartphone with cutting-edge technology and premium design. Featuring fast charging, 5G connectivity. ",Electronics,Smartphones,Huawei,865.23,USD,2.7,2310,In Stock,"fast charging, 5G connectivity","fast charging, 5G connectivity, Huawei",Pink,16.56,70x88x78,Glass,Taiwan,36,False,2023-08-29,HUA-SMA-000252
253,Razer Pavilion 706,"Powerful laptop designed for professional work and creative tasks. Featuring fast charging, lightweight design, dedicated graphics. ",Electronics,Laptops,Razer,1624.89,USD,3.1,2886,In Stock,"fast charging, lightweight design, dedicated graphics, backlit keyboard","Razer, dedicated graphics, fast charging, backlit keyboard, lightweight design",Pink,6.53,130x35x100,Wood,Vietnam,36,False,2023-11-05,RAZ-LAP-000253
254,Gap Premium shoes,"Premium fashion item with attention to detail and quality craftsmanship. Featuring stylish design, versatile styling. Made from high-quality polyester. Available in sizes XS-S-M.",Fashion,Clothing,Gap,241.36,USD,4.1,2203,In Stock,"stylish design, versatile styling","versatile styling, Gap, stylish design",Purple,10.81,97x35x9,Glass,Germany,12,False,2025-06-28,GAP-CLO-000254
255,Sennheiser SRH 794,"Noise-cancelling headphones perfect for travel and focused listening. Featuring foldable design, comfortable fit. ",Electronics,Headphones,Sennheiser,577.66,USD,2.6,3455,In Stock,"foldable design, comfortable fit","comfortable fit, foldable design, Sennheiser",Pink,3.29,87x16x20,Plastic,Vietnam,36,False,2024-10-02,SEN-HEA-000255
256,Shure SRH 934,"Premium wireless headphones with superior sound quality and comfort. Featuring long battery life, wireless connectivity. ",Electronics,Headphones,Shure,229.54,USD,4.4,426,In Stock,"long battery life, wireless connectivity","wireless connectivity, Shure, long battery life",Pink,23.9,90x114x5,Wood,Japan,60,False,2025-06-29,SHU-HEA-000256
257,Bose HD 121,"Premium wireless headphones with superior sound quality and comfort. Featuring premium sound quality, multipoint connection, voice assistant. ",Electronics,Headphones,Bose,237.74,USD,3.6,928,In Stock,"premium sound quality, multipoint connection, voice assistant, wireless connectivity","Bose, wireless connectivity, multipoint connection, premium sound quality, voice assistant",Red,21.62,113x115x85,Fabric,China,60,False,2023-06-28,BOS-HEA-000257
258,Adidas Essential casual wear,"Stylish and comfortable clothing perfect for everyday wear. Featuring durable construction, breathable fabric, easy care. Made from high-quality silk. Available in sizes M-XS-S.",Fashion,Clothing,Adidas,288.37,USD,2.7,3547,Out of Stock,"durable construction, breathable fabric, easy care, premium materials, comfortable fit","comfortable fit, easy care, premium materials, breathable fabric, Adidas, durable construction",White,15.69,134x43x8,Wood,USA,36,True,2023-09-05,ADI-CLO-000258
259,Bose Studio 487,"Professional-grade headphones for audiophiles and content creators. Featuring comfortable fit, touch controls, foldable design. ",Electronics,Headphones,Bose,581.64,USD,4.2,3586,In Stock,"comfortable fit, touch controls, foldable design","comfortable fit, Bose, touch controls, foldable design",Blue,15.84,140x9x70,Plastic,USA,36,True,2023-05-25,BOS-HEA-000259
260,Sennheiser AirPods 752,"Professional-grade headphones for audiophiles and content creators. Featuring touch controls, voice assistant. ",Electronics,Headphones,Sennheiser,596.36,USD,2.7,4565,Limited Stock,"touch controls, voice assistant","touch controls, voice assistant, Sennheiser",Purple,5.32,24x126x42,Leather,India,6,False,2024-01-29,SEN-HEA-000260
261,Wayfair Classic decor accessories,"Designer piece that adds elegance and character to any space. Featuring versatile use, premium quality. Dimensions: 20x47x60cm. Crafted from glass.",Home & Garden,Home Decor,Wayfair,45.53,USD,4.8,1320,In Stock,"versatile use, premium quality","premium quality, versatile use, Wayfair",Gray,7.28,51x69x41,Rubber,Taiwan,12,False,2024-10-10,WAY-HOM-000261
262,Audio-Technica QuietComfort 784,"High-fidelity audio experience with advanced driver technology. Featuring long battery life, multipoint connection, quick charge. ",Electronics,Headphones,Audio-Technica,232.41,USD,2.7,1467,Out of Stock,"long battery life, multipoint connection, quick charge, premium sound quality","quick charge, long battery life, Audio-Technica, multipoint connection, premium sound quality",Gray,15.2,75x142x85,Wood,Vietnam,24,True,2025-03-26,AUD-HEA-000262
263,Wayfair Premium rugs,"Designer piece that adds elegance and character to any space. Featuring versatile use, eco-friendly, space-saving. Dimensions: 42x28x41cm. Crafted from glass.",Home & Garden,Home Decor,Wayfair,172.45,USD,3.2,4725,In Stock,"versatile use, eco-friendly, space-saving, stylish appearance","Wayfair, eco-friendly, stylish appearance, versatile use, space-saving",Blue,9.29,119x45x38,Plastic,Germany,6,False,2023-05-17,WAY-HOM-000263
264,Samsung Lite 403,"Premium mobile phone with professional-grade camera and fast performance. Featuring fast charging, face recognition. ",Electronics,Smartphones,Samsung,1287.32,USD,2.9,1010,In Stock,"fast charging, face recognition","face recognition, Samsung, fast charging",Red,0.54,99x35x23,Rubber,Germany,6,False,2024-12-10,SAM-SMA-000264
265,West Elm Premium decor accessories,"Practical home solution with contemporary aesthetic appeal. Featuring affordable pricing, functional design. Dimensions: 75x193x23cm. Crafted from ceramic.",Home & Garden,Home Decor,West Elm,452.57,USD,2.7,4748,Out of Stock,"affordable pricing, functional design","functional design, affordable pricing, West Elm",Purple,13.31,9x57x46,Rubber,Germany,12,False,2023-07-26,WES-HOM-000265
266,CB2 Modern lighting,"Practical home solution with contemporary aesthetic appeal. Featuring easy assembly, premium quality, modern design. Dimensions: 55x72x21cm. Crafted from glass.",Home & Garden,Home Decor,CB2,555.57,USD,2.9,4653,Pre-order,"easy assembly, premium quality, modern design, space-saving, versatile use","easy assembly, versatile use, space-saving, modern design, premium quality, CB2",Gray,5.4,43x105x25,Ceramic,Germany,24,True,2025-03-16,CB2-HOM-000266
267,Samsung Max 471,"Advanced mobile device featuring latest processor and camera system. Featuring OLED display, water resistant. ",Electronics,Smartphones,Samsung,1086.88,USD,2.6,1886,Out of Stock,"OLED display, water resistant","Samsung, water resistant, OLED display",Red,0.34,98x137x88,Glass,Taiwan,12,False,2025-02-02,SAM-SMA-000267
268,Levi's Essential formal wear,"Versatile wardrobe essential that combines style and functionality. Featuring durable construction, comfortable fit, breathable fabric. Made from high-quality wool. Available in sizes M-L-XXL.",Fashion,Clothing,Levi's,25.41,USD,3.3,3848,In Stock,"durable construction, comfortable fit, breathable fabric","Levi's, comfortable fit, breathable fabric, durable construction",Black,16.48,112x32x96,Rubber,South Korea,60,True,2023-12-18,LEV-CLO-000268
269,Restoration Hardware Luxury wall art,"Designer piece that adds elegance and character to any space. Featuring easy assembly, stylish appearance, space-saving. Dimensions: 116x186x26cm. Crafted from fabric.",Home & Garden,Home Decor,Restoration Hardware,723.33,USD,3.0,1602,In Stock,"easy assembly, stylish appearance, space-saving","easy assembly, stylish appearance, space-saving, Restoration Hardware",Blue,9.59,60x124x23,Wood,Vietnam,24,True,2023-06-04,RES-HOM-000269
270,Nike Premium shoes,"Versatile wardrobe essential that combines style and functionality. Featuring modern design, premium materials, comfortable fit. Made from high-quality denim. Available in sizes S-XL-XS.",Fashion,Clothing,Nike,210.32,USD,4.7,1503,In Stock,"modern design, premium materials, comfortable fit","Nike, premium materials, modern design, comfortable fit",Purple,0.2,21x51x90,Ceramic,USA,36,True,2024-07-25,NIK-CLO-000270
271,Restoration Hardware Luxury kitchen,"Modern home furnishing that combines style and functionality. Featuring durable materials, premium quality, affordable pricing. Dimensions: 111x78x26cm. Crafted from glass.",Home & Garden,Home Decor,Restoration Hardware,346.42,USD,3.4,3832,In Stock,"durable materials, premium quality, affordable pricing, space-saving","premium quality, affordable pricing, space-saving, durable materials, Restoration Hardware",Green,13.62,62x85x44,Plastic,USA,12,True,2023-03-10,RES-HOM-000271
272,H&M Essential dresses,"Contemporary design with classic appeal for modern lifestyle. Featuring modern design, durable construction, all-season wear. Made from high-quality silk. Available in sizes M-L-XL.",Fashion,Clothing,H&M,210.13,USD,2.8,2088,In Stock,"modern design, durable construction, all-season wear, premium materials, classic style","classic style, modern design, premium materials, durable construction, H&M, all-season wear",Gray,10.36,11x72x99,Metal,Vietnam,60,True,2025-05-07,H&M-CLO-000272
273,Alienware ThinkPad 884,"Powerful laptop designed for professional work and creative tasks. Featuring lightweight design, premium build quality, dedicated graphics. ",Electronics,Laptops,Alienware,1474.27,USD,5.0,4741,In Stock,"lightweight design, premium build quality, dedicated graphics","lightweight design, Alienware, premium build quality, dedicated graphics",Blue,9.07,63x57x86,Plastic,USA,36,True,2024-01-02,ALI-LAP-000273
274,Sennheiser WH 155,"Professional-grade headphones for audiophiles and content creators. Featuring touch controls, voice assistant, foldable design. ",Electronics,Headphones,Sennheiser,248.65,USD,2.7,4172,Limited Stock,"touch controls, voice assistant, foldable design, long battery life","long battery life, Sennheiser, voice assistant, foldable design, touch controls",White,8.33,48x139x82,Ceramic,USA,36,False,2023-08-19,SEN-HEA-000274
275,Apple SRH 230,"Noise-cancelling headphones perfect for travel and focused listening. Featuring quick charge, multipoint connection, touch controls. ",Electronics,Headphones,Apple,207.26,USD,3.0,2864,Limited Stock,"quick charge, multipoint connection, touch controls, wireless connectivity","wireless connectivity, quick charge, touch controls, Apple, multipoint connection",White,20.47,105x44x20,Glass,Germany,60,True,2023-05-21,APP-HEA-000275
276,IKEA Modern bathroom,"Designer piece that adds elegance and character to any space. Featuring affordable pricing, space-saving, eco-friendly. Dimensions: 61x94x84cm. Crafted from glass.",Home & Garden,Home Decor,IKEA,375.33,USD,3.5,4352,In Stock,"affordable pricing, space-saving, eco-friendly, easy assembly","easy assembly, eco-friendly, IKEA, affordable pricing, space-saving",Green,5.52,45x90x97,Plastic,Germany,6,False,2025-03-26,IKE-HOM-000276
277,Dell ZenBook 236,"Premium portable computer with exceptional performance and build quality. Featuring premium build quality, long battery life, lightweight design. ",Electronics,Laptops,Dell,2017.14,USD,3.7,4653,In Stock,"premium build quality, long battery life, lightweight design, SSD storage, touchscreen","long battery life, SSD storage, touchscreen, lightweight design, Dell, premium build quality",Yellow,4.34,59x128x57,Leather,Japan,24,True,2024-05-18,DEL-LAP-000277
278,Bose K 686,"High-fidelity audio experience with advanced driver technology. Featuring multipoint connection, noise cancellation, foldable design. ",Electronics,Headphones,Bose,188.08,USD,3.7,4102,In Stock,"multipoint connection, noise cancellation, foldable design","multipoint connection, Bose, foldable design, noise cancellation",Brown,13.69,29x140x79,Wood,Taiwan,12,True,2024-05-23,BOS-HEA-000278
279,Uniqlo Modern outerwear,"Stylish and comfortable clothing perfect for everyday wear. Featuring modern design, stylish design. Made from high-quality cotton. Available in sizes XL-XXL-XS.",Fashion,Clothing,Uniqlo,53.04,USD,2.7,2800,In Stock,"modern design, stylish design","stylish design, modern design, Uniqlo",Blue,21.25,117x14x68,Ceramic,Germany,24,False,2025-03-13,UNI-CLO-000279
280,Pottery Barn Modern outdoor,"Modern home furnishing that combines style and functionality. Featuring durable materials, eco-friendly, stylish appearance. Dimensions: 155x21x46cm. Crafted from plastic.",Home & Garden,Home Decor,Pottery Barn,533.94,USD,3.7,1136,In Stock,"durable materials, eco-friendly, stylish appearance, easy assembly, space-saving","space-saving, stylish appearance, easy assembly, Pottery Barn, eco-friendly, durable materials",Yellow,19.0,37x101x14,Wood,South Korea,6,True,2024-12-16,POT-HOM-000280
281,Zara Luxury outerwear,"Contemporary design with classic appeal for modern lifestyle. Featuring all-season wear, premium materials, modern design. Made from high-quality denim. Available in sizes S-M-XXL.",Fashion,Clothing,Zara,235.5,USD,4.5,2335,In Stock,"all-season wear, premium materials, modern design","premium materials, modern design, Zara, all-season wear",Gray,10.68,91x106x54,Glass,Vietnam,6,True,2022-12-10,ZAR-CLO-000281
282,Dell ZenBook 666,"Versatile laptop perfect for business, gaming, and multimedia use. Featuring premium build quality, lightweight design, backlit keyboard. ",Electronics,Laptops,Dell,2101.64,USD,4.3,3434,In Stock,"premium build quality, lightweight design, backlit keyboard, touchscreen, fast charging","Dell, touchscreen, backlit keyboard, fast charging, premium build quality, lightweight design",Yellow,2.69,63x42x40,Glass,India,36,False,2024-05-16,DEL-LAP-000282
283,Calvin Klein Luxury accessories,"Contemporary design with classic appeal for modern lifestyle. Featuring modern design, stylish design. Made from high-quality polyester. Available in sizes M-S-L.",Fashion,Clothing,Calvin Klein,202.76,USD,3.7,4130,In Stock,"modern design, stylish design","modern design, stylish design, Calvin Klein",White,19.44,92x85x46,Fabric,India,6,True,2023-01-01,CAL-CLO-000283
284,Xiaomi Pro 743,"Flagship smartphone with cutting-edge technology and premium design. Featuring water resistant, wireless charging, high refresh rate. ",Electronics,Smartphones,Xiaomi,406.59,USD,3.2,2898,In Stock,"water resistant, wireless charging, high refresh rate","water resistant, Xiaomi, high refresh rate, wireless charging",Gray,10.75,95x64x67,Wood,Germany,6,True,2024-06-18,XIA-SMA-000284
285,West Elm Luxury decor accessories,"Modern home furnishing that combines style and functionality. Featuring easy assembly, affordable pricing, durable materials. Dimensions: 181x70x37cm. Crafted from metal.",Home & Garden,Home Decor,West Elm,763.12,USD,2.7,4637,In Stock,"easy assembly, affordable pricing, durable materials","affordable pricing, easy assembly, durable materials, West Elm",Black,17.03,135x138x48,Rubber,China,60,True,2022-11-09,WES-HOM-000285
286,JBL HD 477,"Noise-cancelling headphones perfect for travel and focused listening. Featuring quick charge, premium sound quality, touch controls. ",Electronics,Headphones,JBL,243.81,USD,3.0,1881,In Stock,"quick charge, premium sound quality, touch controls, voice assistant, comfortable fit","quick charge, JBL, premium sound quality, voice assistant, comfortable fit, touch controls",Yellow,8.59,64x149x31,Ceramic,China,36,False,2024-07-21,JBL-HEA-000286
287,Adidas Modern jeans,"Premium fashion item with attention to detail and quality craftsmanship. Featuring durable construction, versatile styling, modern design. Made from high-quality cotton. Available in sizes M-XXL-XS.",Fashion,Clothing,Adidas,57.93,USD,4.6,2626,In Stock,"durable construction, versatile styling, modern design","modern design, versatile styling, Adidas, durable construction",Pink,9.84,113x40x50,Leather,India,36,True,2024-08-24,ADI-CLO-000287
288,Oppo Mini 360,"Premium mobile phone with professional-grade camera and fast performance. Featuring fast charging, OLED display, fingerprint sensor. ",Electronics,Smartphones,Oppo,1178.11,USD,4.0,3929,In Stock,"fast charging, OLED display, fingerprint sensor, face recognition, wireless charging","wireless charging, fingerprint sensor, OLED display, fast charging, Oppo, face recognition",Green,22.98,110x96x99,Fabric,Vietnam,12,True,2022-08-30,OPP-SMA-000288
289,Tommy Hilfiger Premium accessories,"Premium fashion item with attention to detail and quality craftsmanship. Featuring premium materials, modern design, durable construction. Made from high-quality wool. Available in sizes XS-XL-S.",Fashion,Clothing,Tommy Hilfiger,88.92,USD,2.9,35,In Stock,"premium materials, modern design, durable construction","Tommy Hilfiger, modern design, premium materials, durable construction",Purple,14.41,84x103x39,Wood,China,24,True,2022-10-22,TOM-CLO-000289
290,Lenovo ROG 818,"Premium portable computer with exceptional performance and build quality. Featuring SSD storage, fast processor, touchscreen. ",Electronics,Laptops,Lenovo,2172.13,USD,3.1,3717,In Stock,"SSD storage, fast processor, touchscreen, lightweight design, premium build quality","SSD storage, touchscreen, Lenovo, premium build quality, lightweight design, fast processor",Brown,20.28,143x52x54,Rubber,Taiwan,36,False,2025-02-12,LEN-LAP-000290
291,Samsung Note 155,"Advanced mobile device featuring latest processor and camera system. Featuring premium build, water resistant, wireless charging. ",Electronics,Smartphones,Samsung,413.97,USD,3.6,941,In Stock,"premium build, water resistant, wireless charging, 5G connectivity","water resistant, wireless charging, Samsung, 5G connectivity, premium build",White,19.05,131x150x70,Rubber,Taiwan,6,False,2022-09-26,SAM-SMA-000291
292,Microsoft MacBook 597,"Powerful laptop designed for professional work and creative tasks. Featuring lightweight design, dedicated graphics, fast charging. ",Electronics,Laptops,Microsoft,1703.81,USD,3.2,1618,Out of Stock,"lightweight design, dedicated graphics, fast charging, long battery life","long battery life, lightweight design, Microsoft, fast charging, dedicated graphics",Green,15.16,138x98x91,Wood,USA,6,True,2024-08-05,MIC-LAP-000292
293,ASUS ThinkPad 321,"High-performance notebook with advanced features and sleek design. Featuring backlit keyboard, touchscreen, long battery life. ",Electronics,Laptops,ASUS,1959.09,USD,2.9,1149,In Stock,"backlit keyboard, touchscreen, long battery life","backlit keyboard, touchscreen, long battery life, ASUS",Brown,8.09,72x32x3,Fabric,Vietnam,60,False,2022-09-18,ASU-LAP-000293
294,Xiaomi Pro 235,"Premium mobile phone with professional-grade camera and fast performance. Featuring fast charging, high refresh rate, face recognition. ",Electronics,Smartphones,Xiaomi,1292.78,USD,4.4,2775,In Stock,"fast charging, high refresh rate, face recognition, wireless charging","fast charging, Xiaomi, wireless charging, face recognition, high refresh rate",White,14.01,113x89x60,Metal,China,60,True,2024-06-20,XIA-SMA-000294
295,Motorola Pro 807,"Advanced mobile device featuring latest processor and camera system. Featuring fingerprint sensor, wireless charging, 5G connectivity. ",Electronics,Smartphones,Motorola,735.81,USD,5.0,2521,Limited Stock,"fingerprint sensor, wireless charging, 5G connectivity","5G connectivity, fingerprint sensor, Motorola, wireless charging",Purple,18.21,37x59x22,Fabric,India,24,False,2024-08-16,MOT-SMA-000295
296,Adidas Luxury formal wear,"Stylish and comfortable clothing perfect for everyday wear. Featuring breathable fabric, modern design, versatile styling. Made from high-quality wool. Available in sizes L-XL-M.",Fashion,Clothing,Adidas,136.46,USD,4.3,4821,In Stock,"breathable fabric, modern design, versatile styling","versatile styling, breathable fabric, Adidas, modern design",Pink,18.7,11x14x76,Rubber,Taiwan,6,True,2023-09-10,ADI-CLO-000296
297,Uniqlo Modern dresses,"Versatile wardrobe essential that combines style and functionality. Featuring easy care, premium materials, all-season wear. Made from high-quality silk. Available in sizes M-L-S.",Fashion,Clothing,Uniqlo,168.56,USD,2.7,1806,In Stock,"easy care, premium materials, all-season wear, durable construction","Uniqlo, durable construction, all-season wear, premium materials, easy care",Gray,19.41,74x131x89,Metal,China,12,True,2023-02-15,UNI-CLO-000297
298,Restoration Hardware Classic bathroom,"Practical home solution with contemporary aesthetic appeal. Featuring space-saving, functional design, affordable pricing. Dimensions: 170x142x66cm. Crafted from metal.",Home & Garden,Home Decor,Restoration Hardware,874.76,USD,3.5,4552,In Stock,"space-saving, functional design, affordable pricing","Restoration Hardware, affordable pricing, space-saving, functional design",Blue,1.29,52x111x16,Plastic,Germany,12,True,2024-01-02,RES-HOM-000298
299,West Elm Modern storage,"Designer piece that adds elegance and character to any space. Featuring space-saving, functional design, affordable pricing. Dimensions: 67x12x84cm. Crafted from fabric.",Home & Garden,Home Decor,West Elm,237.04,USD,2.6,534,In Stock,"space-saving, functional design, affordable pricing","space-saving, affordable pricing, West Elm, functional design",Black,20.82,101x126x15,Leather,Taiwan,6,False,2023-07-22,WES-HOM-000299
300,OnePlus Plus 151,"Flagship smartphone with cutting-edge technology and premium design. Featuring fast charging, OLED display, fingerprint sensor. ",Electronics,Smartphones,OnePlus,358.96,USD,3.0,921,In Stock,"fast charging, OLED display, fingerprint sensor, face recognition","fast charging, OnePlus, fingerprint sensor, face recognition, OLED display",Purple,18.18,58x68x66,Leather,China,60,True,2024-01-27,ONE-SMA-000300
301,Sony Mini 936,"Flagship smartphone with cutting-edge technology and premium design. Featuring high refresh rate, water resistant, fast charging. ",Electronics,Smartphones,Sony,680.71,USD,2.7,3733,Out of Stock,"high refresh rate, water resistant, fast charging","water resistant, Sony, fast charging, high refresh rate",Yellow,3.52,107x50x98,Plastic,China,24,False,2024-02-24,SON-SMA-000301
302,Acer MacBook 247,"Versatile laptop perfect for business, gaming, and multimedia use. Featuring touchscreen, premium build quality. ",Electronics,Laptops,Acer,2438.89,USD,3.2,4307,In Stock,"touchscreen, premium build quality","Acer, premium build quality, touchscreen",Red,21.55,60x38x81,Wood,Japan,24,True,2022-10-10,ACE-LAP-000302
303,Sony SRH 718,"Premium wireless headphones with superior sound quality and comfort. Featuring premium sound quality, long battery life, noise cancellation. ",Electronics,Headphones,Sony,361.24,USD,3.4,6,In Stock,"premium sound quality, long battery life, noise cancellation","noise cancellation, premium sound quality, Sony, long battery life",Red,23.33,35x126x12,Rubber,Japan,12,False,2024-11-06,SON-HEA-000303
304,MSI Pavilion 396,"Powerful laptop designed for professional work and creative tasks. Featuring fast processor, high resolution display, SSD storage. ",Electronics,Laptops,MSI,1643.16,USD,3.5,4861,In Stock,"fast processor, high resolution display, SSD storage, long battery life","fast processor, high resolution display, long battery life, SSD storage, MSI",Brown,16.57,128x68x27,Plastic,USA,60,True,2025-02-17,MSI-LAP-000304
305,Beyerdynamic QuietComfort 820,"Noise-cancelling headphones perfect for travel and focused listening. Featuring long battery life, comfortable fit. ",Electronics,Headphones,Beyerdynamic,315.07,USD,3.6,1140,In Stock,"long battery life, comfortable fit","comfortable fit, long battery life, Beyerdynamic",Yellow,7.29,24x90x63,Leather,Germany,24,True,2025-06-18,BEY-HEA-000305
306,Dell Blade 763,"Premium portable computer with exceptional performance and build quality. Featuring lightweight design, fast charging, long battery life. ",Electronics,Laptops,Dell,1988.31,USD,3.6,1801,In Stock,"lightweight design, fast charging, long battery life, backlit keyboard","lightweight design, backlit keyboard, Dell, long battery life, fast charging",Gray,12.31,25x127x13,Wood,India,6,True,2023-03-04,DEL-LAP-000306
307,Williams Sonoma Classic rugs,"Designer piece that adds elegance and character to any space. Featuring premium quality, stylish appearance, modern design. Dimensions: 97x37x80cm. Crafted from metal.",Home & Garden,Home Decor,Williams Sonoma,201.62,USD,3.2,4835,In Stock,"premium quality, stylish appearance, modern design, durable materials","modern design, durable materials, stylish appearance, Williams Sonoma, premium quality",Blue,11.13,64x119x55,Rubber,Taiwan,6,False,2024-04-26,WIL-HOM-000307
308,West Elm Premium decor accessories,"Premium home accessory crafted with attention to detail and quality. Featuring functional design, easy assembly, space-saving. Dimensions: 183x199x48cm. Crafted from fabric.",Home & Garden,Home Decor,West Elm,724.46,USD,4.6,3383,In Stock,"functional design, easy assembly, space-saving, durable materials","easy assembly, space-saving, functional design, durable materials, West Elm",White,18.16,50x6x5,Plastic,Taiwan,24,False,2024-10-24,WES-HOM-000308
309,Acer ROG 732,"High-performance notebook with advanced features and sleek design. Featuring backlit keyboard, dedicated graphics, long battery life. ",Electronics,Laptops,Acer,639.67,USD,3.2,9,In Stock,"backlit keyboard, dedicated graphics, long battery life, lightweight design, SSD storage","Acer, dedicated graphics, lightweight design, SSD storage, backlit keyboard, long battery life",Gray,18.55,22x81x56,Plastic,Germany,36,True,2025-05-22,ACE-LAP-000309
310,Motorola Galaxy 326,"Premium mobile phone with professional-grade camera and fast performance. Featuring 5G connectivity, face recognition. ",Electronics,Smartphones,Motorola,1098.66,USD,3.8,3603,In Stock,"5G connectivity, face recognition","Motorola, face recognition, 5G connectivity",Yellow,16.43,22x126x27,Rubber,Taiwan,60,True,2022-12-10,MOT-SMA-000310
311,Adidas Luxury outerwear,"Contemporary design with classic appeal for modern lifestyle. Featuring breathable fabric, versatile styling, premium materials. Made from high-quality wool. Available in sizes XS-L-XXL.",Fashion,Clothing,Adidas,232.4,USD,4.2,2924,Limited Stock,"breathable fabric, versatile styling, premium materials, easy care, stylish design","easy care, Adidas, breathable fabric, premium materials, versatile styling, stylish design",Red,15.33,110x127x95,Wood,USA,6,False,2023-07-03,ADI-CLO-000311
312,MSI Surface 693,"High-performance notebook with advanced features and sleek design. Featuring backlit keyboard, fast processor. ",Electronics,Laptops,MSI,1032.78,USD,2.7,3838,Pre-order,"backlit keyboard, fast processor","MSI, backlit keyboard, fast processor",Pink,9.99,8x133x32,Ceramic,Vietnam,12,True,2024-11-05,MSI-LAP-000312
313,Sennheiser AirPods 326,"Noise-cancelling headphones perfect for travel and focused listening. Featuring comfortable fit, multipoint connection, voice assistant. ",Electronics,Headphones,Sennheiser,355.97,USD,3.2,3521,In Stock,"comfortable fit, multipoint connection, voice assistant, foldable design","Sennheiser, comfortable fit, multipoint connection, voice assistant, foldable design",Black,24.87,147x37x31,Wood,USA,60,False,2022-09-05,SEN-HEA-000313
314,Dell Pavilion 708,"High-performance notebook with advanced features and sleek design. Featuring SSD storage, fast charging. ",Electronics,Laptops,Dell,1439.41,USD,4.3,1788,In Stock,"SSD storage, fast charging","fast charging, SSD storage, Dell",Green,10.2,33x38x66,Wood,China,6,False,2023-09-08,DEL-LAP-000314
315,JBL HD 216,"Professional-grade headphones for audiophiles and content creators. Featuring premium sound quality, comfortable fit, touch controls. ",Electronics,Headphones,JBL,160.62,USD,3.2,1187,In Stock,"premium sound quality, comfortable fit, touch controls","comfortable fit, JBL, touch controls, premium sound quality",Yellow,16.97,138x51x47,Plastic,China,6,False,2022-10-12,JBL-HEA-000315
316,JBL HD 897,"Premium wireless headphones with superior sound quality and comfort. Featuring long battery life, premium sound quality, wireless connectivity. ",Electronics,Headphones,JBL,47.58,USD,4.5,1544,In Stock,"long battery life, premium sound quality, wireless connectivity, voice assistant","JBL, premium sound quality, voice assistant, long battery life, wireless connectivity",Yellow,16.17,58x32x34,Fabric,Japan,6,False,2025-01-04,JBL-HEA-000316
317,HP ROG 773,"High-performance notebook with advanced features and sleek design. Featuring touchscreen, lightweight design, fast charging. ",Electronics,Laptops,HP,1774.54,USD,4.1,3518,Pre-order,"touchscreen, lightweight design, fast charging","lightweight design, touchscreen, fast charging, HP",Gray,19.86,49x145x27,Rubber,Taiwan,60,True,2023-09-15,HP-LAP-000317
318,Xiaomi Note 840,"High-performance smartphone with exceptional battery life and display quality. Featuring OLED display, wireless charging. ",Electronics,Smartphones,Xiaomi,1041.84,USD,4.1,1539,Pre-order,"OLED display, wireless charging","Xiaomi, wireless charging, OLED display",Pink,18.19,6x40x32,Plastic,USA,24,True,2025-08-17,XIA-SMA-000318
